source_row,frequency_rank,complexity,word,romanized,pos_ko,classification,hanja_ref,english,note,word_group_size,word_group_index,review_flags
3280,3710.0,B,잔치,janchi,명,noun,,"banquet,feast",,1,1,
3281,3712.0,C,전달되다,jeondaldoeda,동,verb,傳達-,To be delivered,,1,1,
3282,3713.0,B,전부,jeonbu,부,adverb,全部,"All, everything",,2,2,surface_duplicate
3283,3716.0,B,차다,chada,형,adjective,날씨가~,to be cold to the touch,,4,3,surface_duplicate
3284,3718.0,B,치료하다,chiryohada,동,verb,治療-,"To cure, heal, treat a patient",,1,1,
3285,3719.0,C,칸,kan,명,noun,,Blank space,,1,1,
3286,3720.0,C,한,han,명,noun,恨,deep-seated resentment,,3,3,surface_duplicate
3287,3723.0,C,갈수록,galsurok,부,adverb,,As one goes aong,,1,1,
3288,3725.0,C,갖가지,gajgaji,명,noun,,A variety of or all sorts,,1,1,
3289,3726.0,C,거절하다,geojeolhada,동,verb,拒絶-,Refuse or reject,,1,1,
3290,3730.0,B,관광객,gwangwanggaek,명,noun,觀光客,A tourist,,1,1,
3291,3731.0,C,구별하다,gubyeolhada,동,verb,區別-,To distinguish between A and B,,1,1,
3292,3732.0,B,국,guk,명,noun,음식,Soup or broth,,1,1,
3293,3735.0,C,다행,dahaeng,명,noun,多幸,Good luck,,1,1,
3294,3737.0,C,동의,dongui,명,noun,同意,"agreement, consent",,1,1,
3295,3740.0,C,마무리,mamuri,명,noun,,"Finish, completion",,1,1,
3296,3741.0,C,마주치다,majuchida,동,verb,,Collide with,,1,1,
3297,3742.0,C,막상,maksang,부,adverb,,"Really, actually",,1,1,
3298,3743.0,A,몇,myeocc,수,numeral,,A few,,2,2,surface_duplicate
3299,3744.0,C,몸통,momtong,명,noun,,"The trunk,body",,1,1,
3300,3745.0,C,못,mos,명,noun,벽에~을박다,nail; peg; spike,,2,2,surface_duplicate
3301,3746.0,C,묘사하다,myosahada,동,verb,描寫-,To describe,,1,1,
3302,3748.0,B,미술관,misulgwan,명,noun,美術館,Fine arts museum,,1,1,
3303,3750.0,C,베다,beda,동,verb,목을~,"Cut, chop",,1,1,
3304,3751.0,C,보장되다,bojangdoeda,동,verb,保障-,Be secured,,1,1,
3305,3752.0,C,볼,bol,명,noun,뺨,Cheek,,1,1,
3306,3753.0,C,부분적,bubunjeok,명,noun,部分的,Departmental,,1,1,
3307,3754.0,A,불고기,bulgogi,명,noun,,Roast meat,,1,1,
3308,3755.0,C,불리다,bullida,동,verb,물에~,"soak, sodden",,2,2,surface_duplicate
3309,3756.0,C,불행,bulhaeng,명,noun,不幸,Unhappiness,,1,1,
3310,3757.0,C,비명,bimyeong,명,noun,悲鳴,A scream,,1,1,
3311,3759.0,C,순수,sunsu,명,noun,純粹,"purity,genuineness",,1,1,
3312,3760.0,C,시각,sigak,명,noun,時刻,time; a specific point in time,,2,2,surface_duplicate
3313,3761.0,C,실질적,siljiljeok,명,noun,實質的,"substantial,essential",,1,1,
3314,3762.0,C,안개,angae,명,noun,,Fog,,1,1,
3315,3764.0,B,여름철,yeoreumcheol,명,noun,,Summertime,,1,1,
3316,3765.0,C,오로지,oroji,부,adverb,,"Only, solely, exclusively",,1,1,
3317,3766.0,C,완성하다,wanseonghada,동,verb,完成-,"To accomplish, to end successfully",,1,1,
